"Date","CPT_pos","CPT_neg"
2020-06-01,-0.00105234898290978,-0.022966355135017
2020-07-01,-0.00705664160924593,-0.0205288150005544
2020-08-01,-0.0148268362466375,-0.0105724728554351
2020-09-01,-0.00775815047502165,-0.00901504943648988
2020-10-01,-0.0105066041780131,-0.0159347609124093
2020-11-01,-0.0225839038058648,-0.0231913862399548
2020-12-01,-0.0187628155549821,-0.0235611418664168
2021-01-01,-0.0202229778108983,-0.0245461024425962
2021-02-01,0.0147168199969044,-0.017629097727023
2021-03-01,0.0145084131145803,-0.0191613136883473
2021-04-01,0.0107934418667453,-0.0108754143632121
2021-05-01,-0.00482720498464452,-0.00521099466476114
2021-06-01,0.00165579701093615,-0.00102299106760086
2021-07-01,0.0104462125005576,-0.00653884555790315
2021-08-01,0.00380401074897213,-0.00971071433866047
2021-09-01,-0.0131729181859702,-0.00668230391745765
2021-10-01,-0.0134842047171528,0.0013704197659968
2021-11-01,-0.0105871772033957,-0.00166604309478979
2021-12-01,-0.00241912124016305,0.000575450230798976
2022-01-01,-0.0103315220245755,0.000377130207085925
2022-02-01,-0.0198895331869876,0.00141990654695244
2022-03-01,-0.0239078752529459,0.00874733419803233
2022-04-01,0.0037647452675866,0.0021601064268472
2022-05-01,0.0030076464026206,0.00266948297956309
2022-06-01,-0.00660686669944233,0.00354052775034086
2022-07-01,-0.00459642720846216,0.00377346180465622
2022-08-01,-0.00673840531372307,0.00176320079193114
2022-09-01,-0.00704340009073092,0.0027472443231606
2022-10-01,-0.00491416546394616,0.00714564480130658
2022-11-01,-0.00179302359612965,0.00832234192256822
2022-12-01,-0.00621713339006917,0.0113482346404226
2023-01-01,-0.0060625869998118,0.00977181878435298
2023-02-01,-0.00148486899990294,0.0104421291032307
2023-03-01,-0.00836801205728781,0.0139850025342074
2023-04-01,-0.0116213620644599,0.0170638510564549
2023-05-01,-0.013487947149204,0.0187568190335461
2023-06-01,-0.0170012464158301,0.0195756731447074
2023-07-01,-0.0026413977106295,0.00621695040467487
2023-08-01,-0.00337679946056498,0.0065228193133296
2023-09-01,-0.022970548604778,0.010988561794286
2023-10-01,-0.0216546353946629,0.0102261705265798
2023-11-01,-0.0175415027500394,0.00505931830923083
2023-12-01,-0.0135372214865363,-0.00565743340394901
2024-01-01,-0.0115650293623335,0.0135527641157535
2024-02-01,-0.015590176155726,0.00904756202600945
2024-03-01,-0.00242464486760754,0.0120301481713648
2024-04-01,-0.00280009521664235,0.00943438123752251
2024-05-01,0.000479939564051398,0.00327851510561294
2024-06-01,-0.000848438646275757,0.00284222142440809
2024-07-01,0.00285985616812379,-1.5400582866169e-05
2024-08-01,0.00415607030567245,-0.000722189666778271
2024-09-01,0.00330705927574835,-0.00187403087996555
2024-10-01,0.00326266403129354,-8.71996944851574e-05
2024-11-01,0.0025279643972851,0.00260785796336566
2024-12-01,0.00380608918155607,0.0022276460299299
